anchor,line,neg_response
What are you doing back here? Patient?,"No, hooker. Went to my office instead of my home.",Whatre you doing back there?
"Dr. House, Dan's missing.","Yeah, I got that part from the message. You said I was needed immediately.","Monica, this is Dan , one of the guys that were gonna be going out with on Saturday."
He shouldn't move after a lumbar puncture.,"I agree, he's gonna have a very nasty headache. That would also be my opinion if consulted tomorrow morning.","Its okay, its not as bad as it looks, its a precaution."
We wanted to keep you informed. He heard some pretty heavy news.,Sighs This is not a toddler wandering around a department store. He's 16. You'll find him. I'm going home.,I wanted to make sure were doing everything we can to get him back.
"So, when you say Call me if you need anything, You mean, Don't call me.","No, I mean Call me if I can do something. I'm bad at search parties and I'm bad at sitting around looking nervous doing nothing.","Unless someone very close to us is in immediate physical danger, you should not be calling us."
What about his parents? Should we call them?,Why? You think they're hiding him? Make sure someone checks the roof some of the orderlies keep the door propped open so they can grab a smoke.,Hi. Were the guys who called about the baby. We left the baby on ths bus. Is he here? Is he here?
Dan! Dan! No!,Dr. Foreman. I assume you found the kid.,"Hey, tell Dan, Thanks."
He almost walked off the roof.,Suicidal?,He had to board.
"No, he thought he was on his lacrosse field. Look, look, I was just gonna run home, shower, change!interrupted",Conscious?,I think metaphorically.
Conscious? Yeah.,How'd you talk him down?,It would be better if you were unconscious.
"Actually, Chase tackled him.",How come you didn't do it?,He ran... Not very fast.
"Right, well, I am black, but he was closer.","Come on, you can ride up with me.","Yes. No, yeah, but in his defense, that wasnt racist. Hes also brown."
"Come on, you can ride up with me.",Anybody tell the family that their boy almost stepped off a roof? They must be thrilled.,"All right, lets get me back up there!"
"They're not suing, but I think only because Chase asked them.",Why does Everyone always think I'm being sarcastic?,"Forgive me, Penny, but that would be the very definition of a frivolous lawsuit."
Why doesn't he have MS?,"He was on the roof thinking he was on the lacrosse field, conscious, and therefore not a night terror. You want some of this? Asking Foreman about the coffee","All I know, Mummy, is that hes a single wealthy doctor, and now, for some reason, theres no money for your little boy."
"Asking Foreman about the coffee Yeah, sure.","He was in an acute confusional state, which doesn't fit with a demyelinating disease like MS.","Hey Michael, would you get me some coffee from the warehouse?"
That the immune system is working.,"Right, he has an infection in his brain.","My fever is gone, my sinuses are pressurefree, and my mucus is as clear as a Yosemite waterfall."
What about sex?,"Well, it might get compliCated. We work together. I am older, certainly, but maybe you like that.","Sex? Really? I mean, thats just your solution to everything."
I meant maybe he has neurosyphilis.,"Heh, nice cover.",I have an eidetic memory.
"Sorry, RPR was negative.",We don't need a definitive test to confirm this.,I am not pr
"Sure, didn't need one to confirm MS.","Ok, let's wait for you to run titers on 4000 viruses while this kid's brain turns to mush.","No. Cause you need that. No, its okay, thanks."
"So the fact that he doesn't have MS is, it's really not good news after all?","Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30%, the likelihood of a 16 year old having sex, roughly 120%.","But no, because a doctor wont be able to help him, its just gonna yknow naturally pass through his system in like seven years."
I'll start him on IV penicillin.,We're not going to wait for that. The most effective way to deliver the drug is right into his brain via the spine.,"Yes, Id like a sevenday course of penicillin, some, uh, syrup of ipecac, to induce vomiting, and a mint."
"We can't. In a cramped space like the brain, increased intracranial pressure from a high-volume drug like penicillin could herniate his brain stem and kill him. No neurologist in his right mind would recommend that.",Show of hands. Who thinks I'm not in my right mind?,has become the penicillin of the twentyfirst century.
Show of hands. Who thinks I'm not in my right mind?,And who thinks I forget this fairly basic neurological fact?,Cant I just agree without putting my hand in?
And who thinks I forget this fairly basic neurological fact?,Who thinks there's a third option?,"Well, dont get me wrong."
Who thinks there's a third option?,"Very good, what's the third choice?",Maybe theres a third option.
"Sighs The Patient has a shunt in his brain. There'll be no increased pressure, we can put as much penicillin into his body as we want.","Excellent, inject him through a lumbar puncture.",Now youre being a responsible patient.
"Sighs again, and then grunts in pain","Geesh. It's infected, with a really big hole like you stuck a nail in it to reliEve the pressure.","The audible sigh is a show of exasperation, right?"
I wouldn't do that.,"Although the wound is irregular, not cylindrical, it's shaped like a triangle, so not a nail. Steak knife?",Are you referring to the time we got stuck on the Small World ride at Disneyland?
Wife's nail file.,"Whispered Nail File. Yeah, pain'll make you do stupid things. Something to take the edge off? Takes out his pills and puts one in his hand",A little mirror that when you look into it you see yourself as an old woman.
Takes out his pills and puts one in his hand Yeah.,Cheers. Dry swallows the pill and Funsten eats his ewwwww Limps back,His right hand is calling him?
Dry swallows the pill and Funsten eats his ewwwww Limps back No.,Here on work?,Hes going to swallow is tongue.
"No, why are you interrupted",Does your penis hurt?,Im sorry to interrupt you.
No. What? Should it?,"No, just thought I'd toss you a really inappropriate question. Your Lawyer's gonna love it.",No... I think its a great idea.
Why would I want to sue you? I want you to treat me.,"You're from Maplewood, New Jersey. Right?","Guess what, I have flaws."
Right? Yeah.,"Now, why would you drive 70 miles to get treatment for a condition that a 9 year old could diagnose? It's the free-flowing pus that's the tip-off.","Anyway, Dads gonna be here in town, so I wont be able to do Christmas dinner this year."
I was in town.,"Not for family, not for work.","Yes, I was there."
"Ok, you know what? Thank you, I'm gonna find a doctor to take care of this.","I didn't say I wouldn't treat you. We'll drain your knee, run some lab work, fix you right up.","Okay, okay. Look, you have got to go to a doctor! Okay?"
Why would you do that?,I'm a people person.,"Yes. Im sorry, master. Forgive me. I didnt think"
